 
1267079,1724647,586286,888195,21658363,26254998,20743227,1141022044,428,427,204408,251449,709444,1794351, 
834741,377600,115033,98355,9197973,18250123,13223716,1207162436,0,428,120165,106909,116744,144967, 
412666,188587,165495,149244,10608737,19755821,13021446,1144136073,0,0,130001,136415,159507,221514, 
330133,86810,88948,75263,11154397,17075841,12737070,1127545596,0,0,47467,40626,54737,78684, 
250593,43618,46612,39770,7986059,17850713,12913255,1210688276,428,427,29935,29934,45329,69277, 
657701,83388,78685,73553,31173213,66975561,45990292,16296761957,428,428,59014,59869,91086,134705, 
609806,83388,79540,73981,32262396,68212277,46399538,16147433129,428,0,59013,59014,89803,137698, 
603818,82961,77402,73553,32683187,66205820,46976416,16377202420,0,0,61152,60724,91941,150527, 
605102,83816,78685,73553,32950031,66012529,47857769,16604792491,428,0,59441,59441,771451,136843, 
591845,83816,143257,106053,32827300,66351215,47199640,16749935213,0,0,58586,59442,89803,134704, 
1255105,125297,112467,151383,72831149,147176976,107344181,62271413544,0,427,88092,88520,134277,717997, 
1271355,190725,179606,173619,78163741,148767345,105056341,62132578845,428,428,88093,88948,135132,298489, 
1846950,126152,111613,110757,72278219,145580192,105847036,69126256708,427,428,143257,142403,230922,400265, 
2207445,214245,182600,183883,90004490,182150998,127922342,74764275909,428,428,129145,149671,238192,313456, 
2199320,165494,174902,171909,123429195,260865103,193497403,75331192457,427,0,143685,143258,233488,1040006, 
3859822,294640,239902,219804,167707670,357583869,241583955,184949278368,427,0,154803,132994,892044,428916, 
3307319,252731,149672,147961,129355342,267346747,191532425,155167681584,0,0,118027,121876,714148,319015, 
2282281,214244,183455,227501,128037375,260302764,188125040,151589463961,0,427,117599,118027,180889,350232, 
2159122,169771,148816,147533,125677693,260552930,186074536,155816566529,0,0,118027,118027,180462,268554, 
3210246,262994,213389,158224,123453998,254506190,207442536,153756660609,427,0,118454,118027,184310,898458, 
3252155,215528,175329,185166,198206505,405661015,299518057,298372736642,427,0,147106,149244,225363,422502, 
3648999,240330,194573,185166,196418568,408547542,302350274,290894711454,427,0,148389,159507,262139,333982, 
3234621,505891,271975,254015,192821741,409857812,296179093,302631586307,0,0,153948,1042143,328422,382733, 
3214951,209540,174902,183883,197141696,405790160,305524600,294652115290,0,428,146679,148389,222369,325430, 
3191430,212107,172337,185593,201731061,409212085,300880070,291980353225,427,0,147533,147962,223653,1096881,
